LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
IRL,INTERNET,TOT,PC_HH,A,2013,82.3895,
IRL,INTERNET,TOT,PC_HH,A,2014,82.1681,
IRL,INTERNET,TOT,PC_HH,A,2015,84.8585,
IRL,INTERNET,TOT,PC_HH,A,2016,86.9145,
IRL,INTERNET,TOT,PC_HH,A,2017,88.3699,
IRL,INTERNET,TOT,PC_HH,A,2018,89.1129,
IRL,INTERNET,TOT,PC_HH,A,2019,90.5917,
IRL,INTERNET,TOT,PC_HH,A,2020,91.8229,
KOR,INTERNET,TOT,PC_HH,A,2011,97.23167946,
KOR,INTERNET,TOT,PC_HH,A,2012,97.34970774,
KOR,INTERNET,TOT,PC_HH,A,2013,98.14339821,
KOR,INTERNET,TOT,PC_HH,A,2014,98.48694292,
KOR,INTERNET,TOT,PC_HH,A,2015,98.78346936,
KOR,INTERNET,TOT,PC_HH,A,2016,99.1944483,
KOR,INTERNET,TOT,PC_HH,A,2017,99.50465037,
KOR,INTERNET,TOT,PC_HH,A,2018,99.47817968,
KOR,INTERNET,TOT,PC_HH,A,2019,99.68928795,
KOR,INTERNET,TOT,PC_HH,A,2020,99.74851416,
CAN,INTERNET,TOT,PC_HH,A,2011,80.4,
CAN,INTERNET,TOT,PC_HH,A,2012,81.4,
CAN,INTERNET,TOT,PC_HH,A,2013,83.7,
CAN,INTERNET,TOT,PC_HH,A,2014,84.9,
CAN,INTERNET,TOT,PC_HH,A,2015,86.9,
CAN,INTERNET,TOT,PC_HH,A,2016,87.4,
CAN,INTERNET,TOT,PC_HH,A,2017,89,
CAN,INTERNET,TOT,PC_HH,A,2018,93.6,
CAN,INTERNET,TOT,PC_HH,A,2019,91,
CAN,INTERNET,TOT,PC_HH,A,2020,94.2,
CHE,INTERNET,TOT,PC_HH,A,2011,83.28,
CHE,INTERNET,TOT,PC_HH,A,2012,85.5,
CHE,INTERNET,TOT,PC_HH,A,2013,89.82,
CHE,INTERNET,TOT,PC_HH,A,2014,90.62,
